repo,media_cbo,mediana_cbo,desvio_padrao_cbo,media_dit,mediana_dit,desvio_padrao_dit,media_lcom,mediana_lcom,desvio_padrao_lcom
android-stackblur,1.76,0.0,3.73,1.1,1.0,0.49,0.59,0.0,1.9
AxonFramework,6.17,5.0,6.16,1.26,1.0,0.69,11.91,0.0,79.84
FlexibleAdapter,5.99,4.0,7.61,2.11,1.0,1.64,102.16,1.0,1464.55
DropDownMenu,4.53,3.0,3.66,1.37,1.0,0.5,2.16,0.0,4.25
MyPerf4J,3.9,2.0,4.38,1.16,1.0,0.36,10.16,0.0,40.42
ThreeTenABP,4.29,4.0,1.8,1.43,1.0,0.53,1.43,0.0,2.3
netty-learning,5.06,4.0,4.8,1.65,1.0,1.13,39.25,1.0,377.98
MagicaSakura,8.3,7.5,7.29,1.68,2.0,1.19,25.44,3.0,73.53
immutables,4.66,3.0,5.09,1.28,1.0,1.14,30.72,0.0,564.43
RxAndroidBle,5.37,3.0,6.47,1.31,1.0,0.9,53.48,0.0,620.63
concurrency-limits,4.61,3.0,4.6,1.28,1.0,0.71,8.38,1.0,21.31
parceler,4.69,3.0,7.08,1.35,1.0,1.32,16.59,0.0,219.62
floatingsearchview,3.57,2.0,7.12,1.18,1.0,0.47,26.28,0.0,242.92
spring-cloud-kubernetes,8.25,7.0,6.52,1.3,1.0,0.6,4.88,0.0,22.13
NetGuard,4.81,2.0,8.06,1.25,1.0,0.69,18.49,0.0,129.22
proguard,9.25,6.0,13.4,1.23,1.0,0.83,58.54,1.0,537.53
retrolambda,2.48,1.0,5.25,1.41,1.0,0.92,9.0,0.0,43.57
Music-Player,4.41,3.5,3.68,1.75,2.0,0.8,5.03,0.5,9.77
sndcpy,7.75,4.5,8.26,2.0,2.0,0.82,20.25,0.0,40.5
JavaEETest,3.52,3.0,3.4,1.1,1.0,0.36,3.27,0.0,9.69
openj9,3.29,2.0,5.03,1.53,1.0,1.38,111.22,0.0,2134.21
12306,5.05,3.0,6.38,1.2,1.0,0.56,2.71,0.0,11.66
RecyclerViewPager,4.31,2.0,4.28,1.49,1.0,0.71,9.97,0.0,59.92
SAI,6.43,5.0,6.87,1.54,1.0,0.94,13.26,1.0,34.0
Store,6.2,5.0,4.98,1.56,1.0,3.14,17.06,1.0,124.67
SwipeMenuListView,4.39,2.0,4.83,1.45,1.0,0.75,15.24,1.0,40.26
GeekNews,4.63,2.0,5.22,1.45,1.0,0.92,10.01,0.0,37.65
incubator-kie-optaplanner,7.25,5.0,6.91,1.84,1.0,1.21,49.22,1.0,436.98
commafeed,7.44,5.0,7.95,1.37,1.0,0.87,5.96,0.0,18.86
LoadSir,5.19,3.0,4.35,1.55,1.5,0.6,4.01,0.0,11.99
Toaster,4.58,3.0,4.43,1.33,1.0,0.68,40.25,0.5,109.93
migration,1.42,1.0,0.67,1.0,1.0,0.0,0.08,0.0,0.29
BottomNavigationViewEx,4.9,3.0,5.12,1.59,1.0,0.73,50.14,0.0,185.9
my-site,6.19,3.0,7.98,1.19,1.0,0.49,35.02,0.0,169.6
